dataset,n_eval_times,c_index,ibs,mean_auc
GBSG2,9,0.7836,0.1602,0.7967
Melanoma,9,0.9585,0.1044,0.8326
Unemployment,8,0.5827,0.2111,0.6395
breast,3,0.8421,0.1811,0.8163
burn,9,0.9261,0.1612,0.5636
cancer,9,0.7601,0.1749,0.7327
cgd,9,0.9762,0.0895,0.8975
colon,9,0.6146,0.2087,0.6081
cost,9,0.6685,0.1645,0.7623
d.oropha.rec,9,0.7952,0.1471,0.8068
dataOvarian1,9,0.727,0.1698,0.7381
diabetes,9,0.6713,0.1881,0.7127
e1684,9,0.6475,0.1984,0.6711
follic,9,0.6513,0.1838,0.6679
glioma,5,1.0,0.1158,0.9167
grace,5,0.6847,0.2225,0.6875
hepatoCellular,9,0.913,0.1132,0.8247
mgus,9,0.7707,0.1365,0.8471
nki70,9,0.96,0.0548,0.898
ova,9,0.7063,0.1691,0.7909
ovarian,5,0.8,0.1509,0.8333
pbc,9,0.8352,0.1328,0.7883
pharmacoSmoking,6,0.7384,0.1572,0.8186
phpl04K8a,9,0.8331,0.1753,0.6924
prostate,9,0.6772,0.1951,0.6856
retinopathy,9,0.7667,0.1697,0.8135
stagec,9,0.938,0.1045,0.855
uis,9,0.6456,0.1809,0.6788
veteran,9,0.7644,0.1373,0.8594
vlbw,9,0.9578,0.062,0.9258
whas500,9,0.9349,0.0995,0.9047
zinc,4,0.8028,0.1681,0.7595
