dataset_name,rsf_c_index,rsf_ibs,rsf_mean_auc,cph_c_index,cph_ibs,cph_mean_auc,dh_c_index,dh_ibs,dh_mean_auc,ds_c_index,ds_ibs,ds_mean_auc
Aids2,0.5438681891686743,0.21394347299089056,0.5559499601988942,0.5715322926636085,0.2088320188913464,0.5895507842478294,0.5719118180918121,0.21144272312409904,0.5984050171156705,0.5570278208639979,0.20935167082612502,0.5740521477059457
Dialysis,0.6956770312236068,0.16116999431298995,0.7237342629826935,0.6568521718792635,0.16620919803528714,0.6916617594187202,0.5350177362560258,0.1635258303630239,0.42567611893940155,0.6592494900014293,0.16407399550918347,0.6974499168252166
Framingham,0.6906492317376749,0.1507421852457213,0.7569589398719945,0.7021660133337149,0.14779278265218326,0.7683475893001093,0.3311110475263956,0.16075002261809457,0.2610347604324731,0.6869009127585911,0.15222084874069822,0.7503673995842112
GBSG2,0.7064285714285714,0.16775875525420805,0.7616308925137987,0.6975,0.1742312052946954,0.7506138156611809,0.6264285714285714,0.20594707005273727,0.6430858368954039,0.7071428571428572,0.1645763500443229,0.7624412571653456
LeukSurv,0.6718996667251359,0.17844815852633095,0.7279664771805547,0.6743553762497807,0.18184181328096824,0.7231143135561123,0.6690054376425189,0.3593951316892977,0.7247954736771096,0.6455884932467988,0.1962754764855681,0.698437472178708
Melanoma,0.6476683937823834,0.19337932194511795,0.6913689964046443,0.7202072538860104,0.16187981591606307,0.7719875698472418,0.39378238341968913,0.23297901644741437,0.37160093192574856,0.5647668393782384,0.3186164957684113,0.6191214365931086
TRACE,0.7373269526576653,0.15808902727688834,0.8111154794142815,0.7423004614595795,0.1575057836030148,0.8118696036014205,0.7250726371560418,0.1892329939109682,0.7886512458440136,0.7380960519569304,0.16014803815364284,0.8080531737894209
UnempDur,0.6624321903150351,0.22245717122282338,0.6877509485653202,0.6731324341810581,0.2193323729961366,0.7040098534880964,0.6356691385059473,0.2905493765407818,0.6592512138304812,0.6815059971134226,0.22638512133709146,0.7084027237642495
Unemployment,0.5840957072484166,0.21956662967770724,0.652598342336067,0.565798733286418,0.21275902033490868,0.6200598311617634,0.5503166783954961,0.30285027147360205,0.5833964638561192,0.525686136523575,0.23558383304973776,0.541886678085217
acath,0.5819221378491589,0.22766552021096878,0.6022605112195131,0.5803429429025827,0.22347206950597576,0.6228247179835109,0.5690757789575074,0.33470936249896854,0.5767235914147014,0.5896277131913178,0.2226231588543635,0.626922694106543
actg,0.7969061876247505,0.0620078955053965,0.806021703296329,0.8278443113772455,0.06078468300593124,0.8625445120223804,0.8028942115768463,0.10182832198334515,0.8291649605645043,0.6437125748502994,0.09366220318230813,0.6649418859691401
breast,0.7631578947368421,0.20843262415996833,0.788525186309181,0.8157894736842105,0.2031609842325769,0.8316326530612245,0.6052631578947368,0.1932467984864092,0.4971192261965233,0.8157894736842105,0.22170364543749618,0.8316326530612245
burn,0.4090909090909091,0.21393178770616206,0.33415370318339505,0.5340909090909091,0.21384694103106702,0.4795878069107274,0.5,0.17568002907327002,0.47110798487414923,0.4659090909090909,0.23321038590574097,0.4329270332087097
cancer,0.5762331838565022,0.2246522023708905,0.5659953739163922,0.5493273542600897,0.2640875401276556,0.5074294982868881,0.3991031390134529,0.24090428692701812,0.3868063719981508,0.5089686098654709,0.25667683902568833,0.4868001658456206
cgd,0.6785714285714286,0.14112686975298686,0.753898562911534,0.75,0.12810505013837364,0.7820085464704539,0.5238095238095238,0.26609061446695065,0.5832544932917906,0.5714285714285714,0.15721502467987486,0.6346285406363472
colon,0.6012521588946459,0.20731476453709083,0.6148488951729684,0.5998128957973518,0.20497625865865274,0.6222712237747832,0.5010794473229706,0.23418718310169315,0.5106464614377898,0.6012521588946459,0.20853949114857073,0.6276921007817305
cost,0.6616672479944192,0.18232363048688002,0.7210084225414821,0.6853854202999651,0.1759004113822748,0.7618015304757213,0.6853854202999651,0.20503293344179335,0.7506386922662737,0.6672479944192535,0.18388051552923607,0.7353558067459097
d.oropha.rec,0.672316384180791,0.17815187474790312,0.7306725057869855,0.6977401129943502,0.17569695774917715,0.7640782016681724,0.556497175141243,0.2193678480781195,0.53385746776949,0.5875706214689266,0.1984323966394329,0.6213924651522205
dataDIVAT1,0.6520190875984428,0.1230165340180694,0.6852097369697286,0.6753045225409469,0.1158139639585745,0.749085632458834,0.6423497120714708,0.11959658991035692,0.7267848270676267,0.6732414832355632,0.11617965311954093,0.7378770232570238
dataDIVAT2,0.5998390927898245,0.17973708820117057,0.604241014399664,0.617232395984982,0.1671223208842096,0.6510074109196681,0.6032104819554057,0.17887823038167763,0.6202632035305455,0.6344724542180675,0.16683213316789794,0.6612851281226036
dataDIVAT3,0.6381727725011307,0.053343471845656736,0.646614987953881,0.7036785768129051,0.05091651258176236,0.7013676306394855,0.5294738429066788,0.04598309571516962,0.6830659872318131,0.682345846524951,0.051044209044168676,0.6918056125836137
dataOvarian1,0.6215174347292798,0.18149871580461333,0.666366293818975,0.6173120728929385,0.20594420787425236,0.671461624338787,0.5961100403013843,0.2824050329164476,0.6486888096541061,0.6272998072542492,0.18791213442830498,0.6788236764434344
diabetes,0.6788211788211789,0.1790629195904829,0.7280319333048404,0.5494505494505495,0.19996469949447793,0.5803604076645495,0.5504495504495505,0.2234170339208619,0.5484320180564004,0.5884115884115884,0.19182217528182452,0.6140482222854731
e1684,0.5504413619167717,0.23039207744148016,0.567032234981811,0.587641866330391,0.1989495596201752,0.6441137511165372,0.4110970996216898,0.26756108728414724,0.3821297271829014,0.4930643127364439,0.26747840586725546,0.502836833056623
follic,0.5922901633118116,0.20025317145057872,0.6199313703808997,0.6348271933156096,0.19000825588037057,0.6760031478320135,0.5660843144701861,0.2260290233678954,0.6177108424004357,0.6325484238511204,0.19217773746742875,0.6736728150850689
glioma,0.8571428571428571,0.18827996722907475,0.8581511839708561,0.7857142857142857,0.17918970734356374,0.7718579234972676,0.5714285714285714,0.23858821423647875,0.6300091074681238,0.6428571428571429,0.2269274624551619,0.7163023679417122
grace,0.654281098546042,0.2552019813535544,0.6229046821114832,0.6219709208400647,0.26404738968175834,0.5765453125392608,0.6289714593430263,0.16388134417369118,0.6027444150041744,0.6359719978459881,0.29548431852222556,0.6139773438575735
hepatoCellular,0.6467391304347826,0.16848928174958464,0.719667025362155,0.7336956521739131,0.15699455527038886,0.8145904127980873,0.5842391304347826,0.20082101411559403,0.6585146423157948,0.6630434782608695,0.1921916119725519,0.7096122272106304
mgus,0.6953242835595776,0.13875327826781825,0.8146141130702113,0.7134238310708899,0.1401422837398265,0.8286023073585607,0.6410256410256411,0.15771254980091567,0.7257773622991265,0.6968325791855203,0.16115312205282273,0.7951277964704451
nki70,0.752,0.1795984750255452,0.813988842252868,0.48,0.29865893192207416,0.5560516981233536,0.728,0.19519370722543042,0.8022310630790939,0.688,0.2328627767552599,0.6957276832284784
nwtco,0.6981365507576421,0.10370090369591609,0.7169546428961291,0.7199132872032933,0.10434750578866843,0.7293581585112645,0.5713190855741438,0.11137789536700315,0.5996725219935731,0.7024174476657615,0.10548202596103703,0.7085169622484135
ova,0.6787313432835821,0.17707349294273145,0.7456047806984777,0.6847014925373134,0.17745176339589253,0.7685873357060468,0.5279850746268657,0.23420080845355426,0.512994228685479,0.6593283582089552,0.17908720288655186,0.7206090357541672
ovarian,1.0,0.1395049405330612,1.0,1.0,0.13645857442049153,1.0,0.0,0.2550657120847305,0.0,1.0,0.09615495944947781,1.0
pbc,0.8164794007490637,0.14816571590635733,0.7988599409626319,0.7940074906367042,0.15363907977408073,0.7989573086765229,0.5,0.19810334698996823,0.5446229025807037,0.8033707865168539,0.1608617296490995,0.7854576730744135
pharmacoSmoking,0.6395348837209303,0.23576579663137912,0.7411690873229334,0.6627906976744186,0.24166702348001687,0.7371406371406369,0.45348837209302323,0.4012298387981737,0.4540269559500328,0.6627906976744186,0.2565857550671748,0.7229992229992229
phpl04K8a,0.6208684381075826,0.21245222615142054,0.6681795213915401,0.6195722618276086,0.20318314052435343,0.6672335704112458,0.5456902138690862,0.23189081808170356,0.5699610326249952,0.5482825664290344,0.26291870227036584,0.5513669816788956
prostate,0.5859922178988327,0.21035736163207383,0.6113685383308155,0.6085603112840466,0.20770204890310598,0.6469672984199124,0.5081712062256809,0.22026390259001324,0.5301593198858099,0.51284046692607,0.22945067101353123,0.5222997565089013
rdata,0.6866574490148635,0.18321046367695953,0.7184048277824172,0.6986980066827976,0.1782218990959977,0.7404637436515251,0.6860237354533932,0.19771131872877235,0.7216164937702672,0.693973960133656,0.18001451955744202,0.7314113380931364
retinopathy,0.6914257228315055,0.181181846401093,0.7366077197857125,0.5707876370887338,0.1962801199841787,0.6037342652288838,0.503988035892323,0.23040289177763634,0.49180032325799805,0.5518444666001994,0.26622788095660804,0.5734606979784043
rhc,0.7078735159116593,0.20122389725181009,0.7458870644903749,0.694511489041115,0.20925752515659934,0.733041559618729,0.667749068738926,0.2561557254635766,0.7048350824667972,0.6892761973854933,0.22754307767550708,0.7297731798957445
rott2,0.7010928590822699,0.17549157027066112,0.7341840732468164,0.683613901710562,0.18167945726550447,0.7151887358408673,0.6532208797176215,0.1932751750900365,0.7008907280871017,0.6875678794461038,0.1827499975494943,0.7179199572927295
scania,0.5847971266625512,0.17511513191226388,0.5949715928519174,0.5544082159492676,0.16763920602701066,0.4927936140150476,0.561984398675571,0.16488050373777816,0.5411542536198004,0.5289297940400696,0.16893233446146244,0.5113334390685164
smarto,0.650459467621554,0.0959656476765594,0.6375162743423536,0.6405366926959748,0.096895533461157,0.6307537871059523,0.5691789982311575,0.1157300831782321,0.5937814717423678,0.6176711678674662,0.10269050677066358,0.622832066966036
stagec,0.7054263565891473,0.1699607167978095,0.7414313499551208,0.7751937984496124,0.16048217826003058,0.7624547362910078,0.6356589147286822,0.19329024294812824,0.5465182558353403,0.6511627906976745,0.17646211664626693,0.5949305365782155
uis,0.633851869050383,0.17903487689585756,0.6942816549752139,0.6182957975388902,0.17749707947961274,0.6684857303710582,0.5688414209426514,0.29006575216361496,0.5964209816334671,0.5709310424889714,0.19489350984575488,0.5901240090721597
veteran,0.7596153846153846,0.15018787948816595,0.8556203215819277,0.7307692307692307,0.16461820624321857,0.8215703009821368,0.5432692307692307,0.2841978535129211,0.5590219183314055,0.6394230769230769,0.261699595276824,0.6234840050285699
vlbw,0.9076233183856502,0.08176018883759371,0.8817521385205758,0.8197309417040358,0.09917492032809573,0.8267438276967811,0.8654708520179372,0.14799860406933116,0.8479078144895504,0.884304932735426,0.09252994342924786,0.8489529056684785
whas500,0.8043130990415336,0.16614870627342632,0.8141307403586752,0.8314696485623003,0.15074379625985132,0.8457053943716436,0.8154952076677316,0.197028367473943,0.8203542576523112,0.8426517571884984,0.14971404480630457,0.8592256815857933
zinc,0.6782334384858044,0.1752327079449488,0.7069393310032692,0.580441640378549,0.21217194431332806,0.5979445307664446,0.6971608832807571,0.20313803619142676,0.706954929108468,0.7034700315457413,0.19800815251783738,0.71850140777477
