pid,event,time,time2,fac_fin,fac_race,fac_wexp,fac_mar,fac_paro,fac_prio,fac_educ,fac_emp,num_age
1,1,0,20,no,black,no,not married,yes,3,3,0,27
2,0,0,9,no,black,no,not married,yes,8,4,0,18
2,0,9,14,no,black,no,not married,yes,8,4,1,18
2,1,14,17,no,black,no,not married,yes,8,4,0,18
3,0,0,16,no,other,yes,not married,yes,13,3,0,19
3,0,16,17,no,other,yes,not married,yes,13,3,1,19
3,1,17,25,no,other,yes,not married,yes,13,3,0,19
4,0,0,4,yes,black,yes,married,yes,1,5,0,23
4,0,4,21,yes,black,yes,married,yes,1,5,1,23
4,0,21,31,yes,black,yes,married,yes,1,5,0,23
4,0,31,52,yes,black,yes,married,yes,1,5,1,23
5,0,0,9,no,other,yes,not married,yes,3,3,0,19
5,0,9,34,no,other,yes,not married,yes,3,3,1,19
5,0,34,52,no,other,yes,not married,yes,3,3,0,19
6,0,0,4,no,black,yes,not married,no,2,4,0,24
6,0,4,10,no,black,yes,not married,no,2,4,1,24
6,0,10,22,no,black,yes,not married,no,2,4,0,24
6,0,22,29,no,black,yes,not married,no,2,4,1,24
6,0,29,52,no,black,yes,not married,no,2,4,0,24
7,0,0,22,no,black,yes,married,yes,0,4,1,25
7,1,22,23,no,black,yes,married,yes,0,4,0,25
8,0,0,19,yes,black,yes,not married,yes,4,3,0,21
8,0,19,21,yes,black,yes,not married,yes,4,3,1,21
8,0,21,23,yes,black,yes,not married,yes,4,3,0,21
8,0,23,25,yes,black,yes,not married,yes,4,3,1,21
8,0,25,52,yes,black,yes,not married,yes,4,3,0,21
9,0,0,15,no,black,no,not married,no,6,3,0,22
9,0,15,22,no,black,no,not married,no,6,3,1,22
9,0,22,37,no,black,no,not married,no,6,3,0,22
9,0,37,52,no,black,no,not married,no,6,3,1,22
10,0,0,1,no,black,yes,not married,no,0,5,0,20
10,0,1,5,no,black,yes,not married,no,0,5,1,20
10,0,5,52,no,black,yes,not married,no,0,5,0,20
11,0,0,8,yes,black,no,not married,yes,3,3,0,26
11,0,8,18,yes,black,no,not married,yes,3,3,1,26
11,0,18,44,yes,black,no,not married,yes,3,3,0,26
11,0,44,52,yes,black,no,not married,yes,3,3,1,26
12,0,0,4,no,black,yes,not married,no,2,5,0,40
12,0,4,52,no,black,yes,not married,no,2,5,1,40
13,0,0,27,no,black,yes,not married,yes,5,3,0,17
13,0,27,29,no,black,yes,not married,yes,5,3,1,17
13,1,29,37,no,black,yes,not married,yes,5,3,0,17
14,0,0,18,no,black,yes,not married,no,2,3,0,37
14,0,18,52,no,black,yes,not married,no,2,3,1,37
15,0,0,14,no,black,no,not married,yes,3,4,0,20
15,0,14,23,no,black,no,not married,yes,3,4,1,20
15,1,23,25,no,black,no,not married,yes,3,4,0,20
16,0,0,1,yes,black,yes,not married,yes,2,3,0,22
16,0,1,45,yes,black,yes,not married,yes,2,3,1,22
16,1,45,46,yes,black,yes,not married,yes,2,3,0,22
17,0,0,13,no,black,no,not married,no,7,3,0,19
17,0,13,18,no,black,no,not married,no,7,3,1,19
17,1,18,28,no,black,no,not married,no,7,3,0,19
18,0,0,14,no,black,no,not married,no,2,3,0,20
18,0,14,33,no,black,no,not married,no,2,3,1,20
18,0,33,52,no,black,no,not married,no,2,3,0,20
19,0,0,11,no,black,no,not married,yes,12,3,0,25
19,0,11,22,no,black,no,not married,yes,12,3,1,25
19,0,22,31,no,black,no,not married,yes,12,3,0,25
19,0,31,52,no,black,no,not married,yes,12,3,1,25
20,0,0,1,no,other,yes,not married,yes,1,3,0,24
20,0,1,3,no,other,yes,not married,yes,1,3,1,24
20,0,3,8,no,other,yes,not married,yes,1,3,0,24
20,0,8,14,no,other,yes,not married,yes,1,3,1,24
20,0,14,17,no,other,yes,not married,yes,1,3,0,24
20,0,17,28,no,other,yes,not married,yes,1,3,1,24
20,0,28,52,no,other,yes,not married,yes,1,3,0,24
21,0,0,30,no,black,no,not married,yes,4,3,0,23
21,0,30,33,no,black,no,not married,yes,4,3,1,23
21,0,33,51,no,black,no,not married,yes,4,3,0,23
21,0,51,52,no,black,no,not married,yes,4,3,1,23
22,0,0,1,yes,black,yes,married,yes,0,3,0,44
22,0,1,52,yes,black,yes,married,yes,0,3,1,44
23,1,0,24,yes,black,yes,not married,yes,2,4,0,29
24,0,0,3,yes,other,yes,not married,yes,1,3,1,28
24,0,3,5,yes,other,yes,not married,yes,1,3,0,28
24,0,5,29,yes,other,yes,not married,yes,1,3,1,28
24,0,29,41,yes,other,yes,not married,yes,1,3,0,28
24,0,41,52,yes,other,yes,not married,yes,1,3,1,28
25,0,0,17,yes,black,yes,not married,no,0,4,0,21
25,0,17,18,yes,black,yes,not married,no,0,4,1,21
25,0,18,21,yes,black,yes,not married,no,0,4,0,21
25,0,21,22,yes,black,yes,not married,no,0,4,1,21
25,0,22,25,yes,black,yes,not married,no,0,4,0,21
25,0,25,38,yes,black,yes,not married,no,0,4,1,21
25,0,38,52,yes,black,yes,not married,no,0,4,0,21
26,0,0,4,yes,black,yes,not married,yes,2,3,0,19
26,0,4,7,yes,black,yes,not married,yes,2,3,1,19
26,0,7,17,yes,black,yes,not married,yes,2,3,0,19
26,0,17,52,yes,black,yes,not married,yes,2,3,1,19
27,0,0,2,no,black,yes,not married,yes,1,4,0,33
27,0,2,52,no,black,yes,not married,yes,1,4,1,33
28,0,0,52,no,black,no,not married,no,2,3,0,19
29,0,0,17,yes,black,no,not married,yes,3,3,1,19
29,0,17,35,yes,black,no,not married,yes,3,3,0,19
29,0,35,52,yes,black,no,not married,yes,3,3,1,19
30,0,0,34,yes,black,yes,married,yes,9,3,1,23
30,0,34,40,yes,black,yes,married,yes,9,3,0,23
30,0,40,52,yes,black,yes,married,yes,9,3,1,23
31,0,0,7,yes,black,no,not married,yes,3,5,0,23
31,0,7,15,yes,black,no,not married,yes,3,5,1,23
31,0,15,52,yes,black,no,not married,yes,3,5,0,23
32,0,0,1,yes,black,no,not married,yes,1,3,0,19
32,0,1,52,yes,black,no,not married,yes,1,3,1,19
