dataset,landmark_time,n_patients,n_events,val_cindex,test_cindex
aids,4.592499999999999,357,114,0.8082971484690121,0.7464387464387464
aids,8.600000000000001,353,89,0.7531222838792315,0.5473546704352199
aids,11.6075,308,44,0.6285190326925941,0.4981765864602915
csl,0.75068493150685,351,199,0.8059368966805099,0.5821137917125563
csl,2.3547945205479452,257,135,0.586170325545604,0.7860937996515579
csl,4.967123287671233,166,68,0.6538000032218909,0.7153049723096827
epileptic,166.0,285,96,0.9894163384128545,0.9972972972972973
epileptic,357.0,277,83,0.658163829496059,0.5280454869384109
epileptic,663.0,199,47,0.7733357176525703,0.832534215600961
FRTCS,1506.75,679,54,0.9769226782874669,0.9726763280291272
FRTCS,1627.0,657,36,0.9392011042816754,0.9276614926576467
FRTCS,1740.25,594,18,0.8997751633855949,0.9294117647058824
heart,66.0,43,25,0.875,0.8181818181818182
oldmort,67.00200000000001,665,240,0.7015107756698958,0.6964437326188284
oldmort,73.179,621,301,0.7224865567927522,0.6834167740492841
oldmort,78.9135,311,175,0.6472479514196507,0.7726185626358799
