dataset,time,cindex
FRTCS,1506.75,0.978502080443828
FRTCS,1627.0,0.9760107224409061
FRTCS,1740.25,0.9234602198208155
Rossi,17.0,0.9307450157397692
Rossi,28.0,0.9318313113807047
Rossi,41.5,0.8587842846553002
aids,4.592499999999999,0.8020880845690403
aids,8.600000000000001,0.7940092675543806
aids,11.6075,0.7820463758493004
csl,0.75068493150685,0.9243142147471267
csl,2.3547945205479452,0.9258097869684182
csl,4.967123287671233,0.8765544431048377
epileptic,166.0,0.9351582213277861
epileptic,357.0,0.9155798417729011
epileptic,663.0,0.8238290266577415
heart,19.5,0.6936836311598724
heart,66.0,0.7074438160096215
heart,175.5,0.7404547108679715
heartvalve,2.48356164383525,0.9850096673015658
heartvalve,4.4534246575345,0.9836254705865186
heartvalve,5.6130136986300005,0.9673374482990548
oldmort,67.00200000000001,0.7819678617621489
oldmort,73.179,0.7607637158931606
oldmort,78.9135,0.7061808071508618
FRTCS,1419.5,0.9988009592326139
FRTCS,1542.0,0.9893552311435523
FRTCS,1627.0,0.9832400492678246
FRTCS,1726.8,0.984635477989282
FRTCS,1782.6,0.9608002185770276
