dataset,time,cindex
FRTCS,1419.5,0.7568890118816847
FRTCS,1542.0,0.7549823209287135
FRTCS,1627.0,0.8154726165705511
FRTCS,1726.8,0.9054612239409878
FRTCS,1782.6,0.9468080722461011
aids,2.449,0.6515723270440251
aids,5.4399999999999995,0.6986363165992472
aids,8.600000000000001,0.6684155549341635
aids,11.124,0.6751617224318746
aids,14.751000000000001,0.7068037567881185
csl,0.3531506849315072,0.6467816210269222
csl,0.9594520547945209,0.5190991169265615
csl,2.3547945205479452,0.7276544293803304
csl,4.290136986301371,0.7341943156892734
csl,7.250958904109587,0.7196391474223919
epileptic,84.0,0.5139810426540284
epileptic,182.0,0.7069369415805398
epileptic,357.0,0.5826825987866132
epileptic,582.0,0.6165548036563384
epileptic,1126.0,0.633640580918366
heart,30.4,0.38513513513513514
heart,66.0,0.7555555555555555
heart,108.39999999999998,0.0
heart,487.60000000000207,0.8
