dataset_name,cph_alpha,cph_score,rsf_n_estimators,rsf_min_samples_split,rsf_score,dh_dropout,dh_first_layer_size,dh_second_layer_size,dh_learning_rate,dh_num_bins,dh_score,ds_dropout,ds_first_layer_size,ds_second_layer_size,ds_learning_rate,ds_score
Aids2,1e-06,0.5354003423981036,50,20,0.5541993152037927,0.1,128,32,0.001,5,0.5709406070981761,0,32,32,0.001,0.5666277079080793
Dialysis,0.1,0.6391232610805565,200,20,0.6621449369136202,0.1,32,32,0.001,20,0.6312746683921061,0,256,32,1e-05,0.6410773212552572
Framingham,0.1,0.6964429762224869,50,20,0.6871278761571851,0.1,128,32,0.0001,20,0.6963853570468251,0.1,128,32,0.0001,0.6975857565397764
GBSG2,1e-06,0.6879358437935844,50,10,0.6844490934449093,0,256,32,0.0001,15,0.7186192468619247,0,512,32,0.0001,0.6921199442119944
LeukSurv,1e-06,0.6481303930968361,200,2,0.639065632354223,0.1,128,32,0.0001,20,0.6459513640721695,0,512,32,0.0001,0.6579796042883291
Melanoma,1e-06,0.8686868686868687,50,2,0.8636363636363636,0,128,32,1e-05,20,0.8838383838383839,0.1,32,32,0.001,0.8484848484848485
NSBCD,0.001,0.6506024096385542,200,20,0.8554216867469879,0,512,32,0.0001,10,0.8795180722891566,0.1,256,32,0.001,0.8313253012048193
TRACE,1e-06,0.7216891891891892,200,20,0.7223310810810811,0,512,32,0.0001,15,0.7317567567567568,0.1,512,32,0.001,0.7339527027027027
UnempDur,0.1,0.6824334265116964,50,20,0.6698911284390172,0.1,512,32,1e-05,15,0.6693026335147859,0,256,32,0.0001,0.687153646216468
Unemployment,1e-06,0.5646747352496218,100,20,0.5548411497730711,0.1,128,32,1e-05,5,0.6849470499243571,0,256,32,0.0001,0.607034795763994
acath,1e-06,0.5902325841440232,50,20,0.5873420552387342,0,512,32,1e-05,20,0.6172145812367215,0.1,512,32,1e-05,0.6171586715867159
actg,1e-06,0.7380388441496921,50,10,0.7764092846991947,0.1,128,32,0.0001,20,0.8005684509711037,0,512,32,0.001,0.7688299384178114
breast,1e-06,0.64,50,2,0.68,0.1,512,32,0.0001,5,0.78,0,256,32,0.0001,0.68
burn,1e-06,0.5957446808510638,50,10,0.7606382978723404,0,128,32,0.0001,5,0.8191489361702128,0,256,32,0.0001,0.6914893617021277
cancer,0.1,0.5848670756646217,200,2,0.6359918200408998,0,128,32,1e-05,10,0.6748466257668712,0.1,512,32,1e-05,0.6380368098159509
cgd,1e-06,0.42727272727272725,200,20,0.6,0,128,32,1e-05,20,0.7363636363636363,0,256,32,1e-05,0.7272727272727273
colon,1e-06,0.6855677346824058,100,2,0.6897835862844295,0,32,32,1e-05,15,0.6887998875772906,0.1,128,32,0.0001,0.6757307476110175
cost,1e-06,0.7198185624563852,200,2,0.7041172365666434,0.1,128,32,0.0001,20,0.7320307048150733,0.1,256,32,0.0001,0.7292393579902303
d.oropha.rec,1e-06,0.664,50,20,0.6773333333333333,0,32,32,0.001,5,0.712,0.1,128,32,0.0001,0.6986666666666667
