dataset_name,rsf_c_index,rsf_ibs,rsf_mean_auc,cph_c_index,cph_ibs,cph_mean_auc,dh_c_index,dh_ibs,dh_mean_auc,ds_c_index,ds_ibs,ds_mean_auc
GBSG2,0.7064285714285714,0.16775875525420805,0.7644866293144469,0.6975,0.1742312052946954,0.7506138156611809,0.6985714285714286,0.20192471370888698,0.7254181652976768,0.7071428571428572,0.16892783038707143,0.7581093305055574
Melanoma,0.6476683937823834,0.19337932194511795,0.7068776392710344,0.7202072538860104,0.16187981591606307,0.7719875698472418,0.6269430051813472,0.21495978060875137,0.7305734933889442,0.7150259067357513,0.16976141944601764,0.7889790268714726
Unemployment,0.5840957072484166,0.21956662967770724,0.622241719450729,0.565798733286418,0.21275902033490868,0.6200598311617634,0.47712878254750174,0.3118513180229803,0.5088047738950698,0.5186488388458832,0.23842331292644137,0.5241239071811429
breast,0.7631578947368421,0.20843262415996833,0.788525186309181,0.8157894736842105,0.2031609842325769,0.8316326530612245,0.39473684210526316,0.2520227387901215,0.22959183673469394,0.8157894736842105,0.23121105376728052,0.954081632653061
burn,0.4090909090909091,0.21393178770616206,0.275507759624623,0.5340909090909091,0.21384694103106702,0.4795878069107274,0.48863636363636365,0.18420649266923195,0.4261931964699763,0.4431818181818182,0.1936870613161662,0.34895594828693993
cancer,0.5762331838565022,0.2246522023708905,0.572762713921596,0.5493273542600897,0.2640875401276556,0.5074294982868881,0.5,0.23271027441425748,0.48523330090694117,0.5224215246636771,0.22675675754043018,0.5514739188603397
cgd,0.6785714285714286,0.14112686975298686,0.729300154809533,0.75,0.12810505013837364,0.7820085464704539,0.35714285714285715,0.25744168407169693,0.5289516411609515,0.6904761904761905,0.14102707044609175,0.7539719100401364
colon,0.6012521588946459,0.20731476453709083,0.6114832345839027,0.5998128957973518,0.20497625865865274,0.6222712237747832,0.5539004029936673,0.22410604421860023,0.5925565353185502,0.5839810017271158,0.212847146462521,0.5959784165719529
cost,0.6616672479944192,0.18232363048688002,0.7267417287928352,0.6853854202999651,0.1759004113822748,0.7618015304757213,0.6260899895361004,0.19536655018501442,0.6913006929061408,0.6644576212068364,0.17862952625796272,0.7215843306973029
d.oropha.rec,0.672316384180791,0.17815187474790312,0.7485832989038329,0.6977401129943502,0.17569695774917715,0.7640782016681724,0.5875706214689266,0.23625967205476045,0.6614602363431946,0.655367231638418,0.196373796224665,0.7086425064784159
dataOvarian1,0.6215174347292798,0.18149871580461333,0.675433577030289,0.6173120728929385,0.20594420787425236,0.6714616243387871,0.6444717014193097,0.2549978869910933,0.7283801979924907,0.6598913614858946,0.18984467902634947,0.7076390215639062
diabetes,0.6788211788211789,0.1790629195904829,0.7001722484244797,0.5494505494505495,0.19996469949447793,0.5803604076645495,0.5884115884115884,0.21368098735612712,0.5901614238247324,0.5954045954045954,0.19138882214585926,0.6119339956309078
e1684,0.5504413619167717,0.23039207744148016,0.5870121662706493,0.587641866330391,0.1989495596201752,0.6441137511165372,0.49936948297604034,0.3007372328030843,0.5117844418270191,0.626733921815889,0.20529502924814025,0.7044421556942773
follic,0.5922901633118116,0.20025317145057872,0.6038868829865192,0.6348271933156096,0.19000825588037057,0.6760031478320135,0.6515381693885302,0.22245567777601832,0.6390143207395155,0.6177364223319407,0.19491918813790915,0.6519620687216361
glioma,0.8571428571428571,0.18827996722907475,0.8581511839708561,0.7857142857142857,0.17918970734356374,0.7718579234972676,0.6428571428571429,0.1159223090689549,0.8888888888888888,0.7857142857142857,0.21329316828073897,0.8253642987249544
grace,0.654281098546042,0.2552019813535544,0.6913740547905536,0.6219709208400647,0.26404738968175834,0.5765453125392608,0.6058158319870759,0.15858833399544758,0.6433124458082926,0.6074313408723748,0.30135634337853395,0.5806336538037568
hepatoCellular,0.6467391304347826,0.16848928174958464,0.743023711040332,0.7336956521739131,0.15699455527038886,0.8145904127980873,0.6603260869565217,0.20695508166600077,0.7276215198657681,0.6304347826086957,0.19925055031549121,0.6995693538353212
mgus,0.6953242835595776,0.13875327826781825,0.8155431512139006,0.7134238310708899,0.1401422837398265,0.8286023073585607,0.6304675716440422,0.17534915942352516,0.7168769615926193,0.7239819004524887,0.14293837708493118,0.8252401731845124
nki70,0.752,0.1795984750255452,0.8251375415478119,0.48,0.29865893192207416,0.5,0.752,0.1538650473719889,0.8201187072594409,0.752,0.20058295748622268,0.8388029346123556
ova,0.6787313432835821,0.17707349294273145,0.7536084996787125,0.6847014925373134,0.17745176339589253,0.7685873357060468,0.6884328358208955,0.22965219469396278,0.740530683605471,0.6548507462686567,0.17947223932597162,0.7235619516135391
ovarian,1.0,0.1395049405330612,1.0,1.0,0.13645857442049153,1.0,1.0,0.21357882224504185,1.0,0.4,0.27882409192497193,0.0
pbc,0.8164794007490637,0.14816571590635733,0.7815662173091104,0.7940074906367042,0.15363907977408073,0.7989573086765229,0.49625468164794007,0.20606586778318567,0.4580194813881502,0.8314606741573034,0.13701764594006488,0.8200905208422474
pharmacoSmoking,0.6395348837209303,0.23576579663137912,0.7417279301894687,0.6627906976744186,0.24166702348001687,0.7371406371406369,0.6627906976744186,0.3513187964783442,0.7010952722491184,0.6976744186046512,0.2981070586925781,0.7130685553762477
phpl04K8a,0.6208684381075826,0.21245222615142054,0.6533915219648643,0.6195722618276086,0.20318314052435343,0.6672335704112458,0.5534672715489306,0.22900173153272957,0.5758857939821852,0.5294880103694103,0.27369643131270494,0.550674501621055
prostate,0.5859922178988327,0.21035736163207383,0.6039939995767315,0.6085603112840466,0.20770204890310598,0.6469672984199124,0.5879377431906615,0.21477423376460905,0.6099873858982846,0.5964980544747082,0.20670345049938982,0.6468882694742879
retinopathy,0.6914257228315055,0.181181846401093,0.715571165063801,0.5707876370887338,0.1962801199841787,0.6037342652288838,0.590727816550349,0.21785231463584318,0.5984790536843567,0.5319042871385843,0.21202098283070941,0.5297560358564348
stagec,0.7054263565891473,0.1699607167978095,0.7174621891397474,0.7751937984496124,0.16048217826003058,0.7624547362910078,0.7054263565891473,0.17548614303138566,0.6856902460778754,0.7674418604651163,0.16565029831078174,0.7927739905951382
uis,0.633851869050383,0.17903487689585756,0.668033502643083,0.6182957975388902,0.17749707947961274,0.6684857303710582,0.553517529602972,0.2799128707548006,0.6352031234543397,0.5788251683306246,0.19058822278697354,0.6099608644043146
veteran,0.7596153846153846,0.15018787948816595,0.8306981688339754,0.7307692307692307,0.16461820624321857,0.8215703009821368,0.5721153846153846,0.3261971437029773,0.7537411742106401,0.6442307692307693,0.24975430108426575,0.657687081870901
vlbw,0.9076233183856502,0.08176018883759371,0.8906183626356654,0.8197309417040358,0.09917492032809573,0.8267438276967811,0.8878923766816144,0.13199760517141138,0.5947594774574264,0.8538116591928251,0.08786916675083918,0.8468067334114807
whas500,0.8043130990415336,0.16614870627342632,0.8072688919188052,0.8314696485623003,0.15074379625985132,0.8457053943716436,0.7396166134185304,0.22602505226184663,0.6942245332421815,0.8282747603833865,0.15057022347544177,0.8364071509511551
zinc,0.6782334384858044,0.1752327079449488,0.7188087093223172,0.580441640378549,0.21217194431332806,0.5979445307664446,0.6561514195583596,0.2068715863917784,0.6888966721366112,0.7444794952681388,0.19714224065496902,0.7714098640526189
